"","Don't know/Prefer not to answer","Hispanic or Latino","I don’t know/prefer not to respond","Not Hispanic or Latino"
"Freq",79,362,7,655
"Prop",0.071622846781505,0.328195829555757,0.00634632819582956,0.593834995466908
