"","Employed full-time","Employed part-time","Homemaking (not paid)","Prefer not to say","Retired","Seeking job opportunities"
"Freq",64,22,15,10,2,16
"Prop",0.496124031007752,0.170542635658915,0.116279069767442,0.0775193798449612,0.0155038759689922,0.124031007751938
