"","Encontré arreglos alternativos de educación preescolar sin usar VPK.,Otro","I decided to have my child stay with family/friends.","I decided to have my child stay with family/friends.,I decided to stay home with my child.","I decided to have my child stay with family/friends.,I decided to stay home with my child.,I found alternative Pre-K arrangements without using VPK.","I decided to have my child stay with family/friends.,I decided to stay home with my child.,I found alternative Pre-K arrangements without using VPK.,Other","I decided to have my child stay with family/friends.,I found alternative Pre-K arrangements without using VPK.","I decided to have my child stay with family/friends.,I found alternative Pre-K arrangements without using VPK.,Other","I decided to have my child stay with family/friends.,Other","I decided to stay home with my child.","I decided to stay home with my child.,I found alternative Pre-K arrangements without using VPK.","I decided to stay home with my child.,I found alternative Pre-K arrangements without using VPK.,Other","I decided to stay home with my child.,Other","I found alternative Pre-K arrangements without using VPK.","I found alternative Pre-K arrangements without using VPK.,Other","I moved.","I moved.,I decided to have my child stay with family/friends.,I decided to stay home with my child.,I found alternative Pre-K arrangements without using VPK.","I moved.,I decided to stay home with my child.","I moved.,I found alternative Pre-K arrangements without using VPK.","I moved.,Other","Me mudé.,Decidí quedarme en casa con mi hijo.","Me mudé.,Decidí quedarme en casa con mi hijo.,Otro","Not applicable","Not Applicable.","Other"
"Freq",1,15,7,1,1,1,1,3,97,3,2,4,218,13,42,1,4,2,3,1,1,69,446,272
"Prop",0.000827814569536424,0.0124172185430464,0.00579470198675497,0.000827814569536424,0.000827814569536424,0.000827814569536424,0.000827814569536424,0.00248344370860927,0.0802980132450331,0.00248344370860927,0.00165562913907285,0.0033112582781457,0.18046357615894,0.0107615894039735,0.0347682119205298,0.000827814569536424,0.0033112582781457,0.00165562913907285,0.00248344370860927,0.000827814569536424,0.000827814569536424,0.0571192052980132,0.369205298013245,0.225165562913907
