"","8th grade or less","9th-12th grade (no high school diploma)","Associate degree (AA, AS)","Bachelor’s degree (BA, BS, AB)","Graduate or professional degree","High school graduate or GED completed","Some college credit but no degree"
"Freq",3,11,16,8,5,45,41
"Prop",0.0232558139534884,0.0852713178294574,0.124031007751938,0.062015503875969,0.0387596899224806,0.348837209302326,0.317829457364341
