"","1-year-old","1-year-old ,2-year-old","1-year-old ,2-year-old ,3-year-old","1-year-old ,3-year-old","1-year-old ,3-year-old ,4-year-old","2-year-old","2-year-old ,3-year-old","2-year-old ,4-year-old","2-year-old ,5-year-old","2-year-old ,6-years-old or older","3-year-old","3-year-old ,4-year-old","3-year-old ,4-year-old ,5-year-old ,6-years-old or older","3-year-old ,5-year-old","4-year-old","4-year-old ,5-year-old","4-year-old ,6-years-old or older","5-year-old","5-year-old ,6-years-old or older","6-years-old or older","Less than 1 year-old","Less than 1 year-old,1-year-old","Less than 1 year-old,1-year-old ,2-year-old ,3-year-old","Less than 1 year-old,1-year-old ,2-year-old ,4-year-old","Less than 1 year-old,2-year-old","Less than 1 year-old,4-year-old","Less than 1 year-old,4-year-old ,6-years-old or older","Less than 1 year-old,5-year-old","Less than 1 year-old,5-year-old ,6-years-old or older","Not applicable","Not Applicable"
"Freq",9,1,1,2,1,9,2,1,3,1,4,4,1,3,12,1,1,3,4,20,13,2,1,1,2,2,1,1,1,5,17
"Prop",0.0697674418604651,0.00775193798449612,0.00775193798449612,0.0155038759689922,0.00775193798449612,0.0697674418604651,0.0155038759689922,0.00775193798449612,0.0232558139534884,0.00775193798449612,0.0310077519379845,0.0310077519379845,0.00775193798449612,0.0232558139534884,0.0930232558139535,0.00775193798449612,0.00775193798449612,0.0232558139534884,0.0310077519379845,0.155038759689922,0.10077519379845,0.0155038759689922,0.00775193798449612,0.00775193798449612,0.0155038759689922,0.0155038759689922,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.0387596899224806,0.131782945736434
