"","Bicycle","Bus or other public transportation","Carpool with friends, family, or coworkers","Paid rideshare (for example: Uber, Lyft, etc.)","Personal motor vehicle","Walking"
"Freq",3,85,45,27,931,51
"Prop",0.00262697022767075,0.074430823117338,0.0394045534150613,0.0236427320490368,0.81523642732049,0.0446584938704028
