"","1:00","10:00","11:00","2:30","24","3:00","5:00","5:30","6:00","6:30","7:00","7:30","7:49","8:00","8:30","9:00"
"Freq",1,1,1,3,1,1,4,1,40,8,36,5,1,19,1,2
"Prop",0.008,0.008,0.008,0.024,0.008,0.008,0.032,0.008,0.32,0.064,0.288,0.04,0.008,0.152,0.008,0.016
