"","$100,000 or more","$15,000 to 19,000","$20,000 to 29,000","$30,000 to $39,000","$40,000 to $49,000","$50,000 to $74,000","$75,000 to $100,000","Less than $14,000","Prefer not to answer"
"Freq",219,79,84,111,88,151,101,122,149
"Prop",0.198369565217391,0.0715579710144928,0.0760869565217391,0.10054347826087,0.0797101449275362,0.136775362318841,0.0914855072463768,0.110507246376812,0.134963768115942
