"","1:00","1:20","1:30","1:40","1:50","1:55","10:00","11:00","12:00","12:30","2:00","2:05","2:15","2:20","2:30","2:45","24","3:00","3:15","3:30","3:50","4:00","4:15","4:30","5:00","5:30","6:00","6:30","7:00","8:00","9:00"
"Freq",25,1,4,1,1,1,2,1,50,4,62,1,2,1,19,3,1,146,2,14,1,104,1,11,193,36,337,14,42,15,1
"Prop",0.0228102189781022,0.000912408759124088,0.00364963503649635,0.000912408759124088,0.000912408759124088,0.000912408759124088,0.00182481751824818,0.000912408759124088,0.0456204379562044,0.00364963503649635,0.0565693430656934,0.000912408759124088,0.00182481751824818,0.000912408759124088,0.0173357664233577,0.00273722627737226,0.000912408759124088,0.133211678832117,0.00182481751824818,0.0127737226277372,0.000912408759124088,0.0948905109489051,0.000912408759124088,0.010036496350365,0.176094890510949,0.0328467153284672,0.307481751824818,0.0127737226277372,0.0383211678832117,0.0136861313868613,0.000912408759124088
