"","Alachua","Bradford","Brevard","Broward","Charlotte","Clay","Collier","Dixie","Duval","Escambia","Flagler","Glades","Hernando","Highlands","Hillsborough","Lake","Lee","Leon","Manatee","Marion","Miami-Dade","Monroe","Nassau","Okaloosa","Orange","Palm Beach","Pasco","Pinellas","Polk","Putnam","Santa Rosa","Sarasota","Seminole","St. Johns","Union","Volusia"
"Freq",2,1,1,10,7,1,1,1,7,6,3,1,3,1,19,1,3,4,3,6,4,1,1,2,1,12,7,1,7,1,7,3,2,3,1,1
"Prop",0.0148148148148148,0.00740740740740741,0.00740740740740741,0.0740740740740741,0.0518518518518519,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.0518518518518519,0.0444444444444444,0.0222222222222222,0.00740740740740741,0.0222222222222222,0.00740740740740741,0.140740740740741,0.00740740740740741,0.0222222222222222,0.0296296296296296,0.0222222222222222,0.0444444444444444,0.0296296296296296,0.00740740740740741,0.00740740740740741,0.0148148148148148,0.00740740740740741,0.0888888888888889,0.0518518518518519,0.00740740740740741,0.0518518518518519,0.00740740740740741,0.0518518518518519,0.0222222222222222,0.0148148148148148,0.0222222222222222,0.00740740740740741,0.00740740740740741
