"","Alachua","Baker","Bay","Brevard","Broward","Charlotte","Citrus","Clay","Collier","Columbia","Dixie","Duval","Escambia","Flagler","Franklin","Gadsden","Gilchrist","Hamilton","Hendry","Hernando","Highlands","Hillsborough","Indian River","Jackson","Jefferson","Lafayette","Lake","Lee","Leon","Levy","Liberty","Manatee","Marion","Martin","Miami-Dade","Monroe","Nassau","Okaloosa","Okeechobee","Orange","Osceola","Palm Beach","Pasco","Pinellas","Polk","Putnam","Santa Rosa","Sarasota","Seminole","St. Johns","St. Lucie","Sumter","Suwannee","Taylor","Volusia","Wakulla","Walton","Washington"
"Freq",23,1,13,17,118,4,4,13,30,2,1,64,29,14,2,4,1,1,2,6,5,90,3,8,1,1,21,46,40,1,1,20,33,2,85,2,2,14,3,103,41,71,40,23,141,2,12,30,34,9,35,5,1,1,39,3,6,2
"Prop",0.0173584905660377,0.000754716981132075,0.00981132075471698,0.0128301886792453,0.0890566037735849,0.0030188679245283,0.0030188679245283,0.00981132075471698,0.0226415094339623,0.00150943396226415,0.000754716981132075,0.0483018867924528,0.0218867924528302,0.0105660377358491,0.00150943396226415,0.0030188679245283,0.000754716981132075,0.000754716981132075,0.00150943396226415,0.00452830188679245,0.00377358490566038,0.0679245283018868,0.00226415094339623,0.0060377358490566,0.000754716981132075,0.000754716981132075,0.0158490566037736,0.0347169811320755,0.030188679245283,0.000754716981132075,0.000754716981132075,0.0150943396226415,0.0249056603773585,0.00150943396226415,0.0641509433962264,0.00150943396226415,0.00150943396226415,0.0105660377358491,0.00226415094339623,0.0777358490566038,0.0309433962264151,0.0535849056603774,0.030188679245283,0.0173584905660377,0.106415094339623,0.00150943396226415,0.00905660377358491,0.0226415094339623,0.0256603773584906,0.00679245283018868,0.0264150943396226,0.00377358490566038,0.000754716981132075,0.000754716981132075,0.0294339622641509,0.00226415094339623,0.00452830188679245,0.00150943396226415
