"","1:00","1:20","10:00","11:00","12:00","24","3:00","4:00","5:00","5:30","6:00","6:30","7:00","8:00","8:30","9:00"
"Freq",2,1,2,3,1,1,3,9,16,4,63,6,11,4,1,1
"Prop",0.015625,0.0078125,0.015625,0.0234375,0.0078125,0.0078125,0.0234375,0.0703125,0.125,0.03125,0.4921875,0.046875,0.0859375,0.03125,0.0078125,0.0078125
