"","10:00","2:00","24","3:40","5:00","5:30","6:00","6:15","6:30","6:50","7:00","7:10","7:15","7:20","7:30","7:39","7:40","7:45","8:00","8:05","8:15","8:30","8:45","9:00","9:30"
"Freq",7,1,1,1,4,1,108,1,31,1,297,1,4,2,81,1,2,3,400,1,1,49,2,94,2
"Prop",0.00638686131386861,0.000912408759124088,0.000912408759124088,0.000912408759124088,0.00364963503649635,0.000912408759124088,0.0985401459854015,0.000912408759124088,0.0282846715328467,0.000912408759124088,0.270985401459854,0.000912408759124088,0.00364963503649635,0.00182481751824818,0.0739051094890511,0.000912408759124088,0.00182481751824818,0.00273722627737226,0.364963503649635,0.000912408759124088,0.000912408759124088,0.0447080291970803,0.00182481751824818,0.0857664233576642,0.00182481751824818
