"","Bus or other public transportation","Carpool with friends, family, or coworkers","Paid rideshare (for example: Uber, Lyft, etc.)","Personal motor vehicle","Walking"
"Freq",16,9,3,95,6
"Prop",0.124031007751938,0.0697674418604651,0.0232558139534884,0.736434108527132,0.0465116279069767
