"","American Indian or Alaska Native","Asian","Black or African American","Black or African American,Other","Black or African American,White","Black or African American,White,Other","I don’t know/prefer not to respond","Native Hawaiian or Other Pacific Islander","Other","Prefer not to answer","White"
"Freq",1,3,56,1,4,1,1,2,7,5,48
"Prop",0.00775193798449612,0.0232558139534884,0.434108527131783,0.00775193798449612,0.0310077519379845,0.00775193798449612,0.00775193798449612,0.0155038759689922,0.0542635658914729,0.0387596899224806,0.372093023255814
