"","Arabic","Chinese (incl. Mandarin, Cantonese)","English","French (incl. Cajun)","Haitian Creole","Hindi","Other & Unspecified Languages","Other Indo-European Languages","Polish","Portuguese","Russian","Spanish","Tagalog (incl. Filipino)","Vietnamese"
"Freq",4,2,825,1,39,1,5,2,1,17,8,203,1,2
"Prop",0.0036003600360036,0.0018001800180018,0.742574257425743,0.0009000900090009,0.0351035103510351,0.0009000900090009,0.0045004500450045,0.0018001800180018,0.0009000900090009,0.0153015301530153,0.0072007200720072,0.182718271827183,0.0009000900090009,0.0018001800180018
