"","American Indian or Alaska Native","American Indian or Alaska Native,Black or African American,White","American Indian or Alaska Native,White","Asian","Asian,Black or African American","Asian,Other","Asian,White","Black or African American","Black or African American,Other","Black or African American,White","Blanco,Otro","Don't know/Prefer not to answer","I don’t know/prefer not to respond","Native Hawaiian or Other Pacific Islander","Native Hawaiian or Other Pacific Islander,White","Negro o afroamericano,Otro","Other","White","White,Other"
"Freq",5,2,4,32,1,1,8,241,3,13,1,76,26,1,1,1,87,596,5
"Prop",0.00452898550724638,0.00181159420289855,0.0036231884057971,0.0289855072463768,0.000905797101449275,0.000905797101449275,0.0072463768115942,0.218297101449275,0.00271739130434783,0.0117753623188406,0.000905797101449275,0.0688405797101449,0.0235507246376812,0.000905797101449275,0.000905797101449275,0.000905797101449275,0.078804347826087,0.539855072463768,0.00452898550724638
