"","8th grade or less","9th-12th grade (no high school diploma)","Associate degree (AA, AS)","Bachelor’s degree (BA, BS, AB)","Graduate or professional degree","High school graduate or GED completed","Some college credit but no degree"
"Freq",26,58,109,252,246,195,215
"Prop",0.0236148955495005,0.0526793823796549,0.0990009082652134,0.228882833787466,0.223433242506812,0.177111716621253,0.1952770208901
