"","$0-25","$100-150","$25-50","$50-75","$75-100","Greater than $150"
"Freq",47,6,36,17,17,6
"Prop",0.364341085271318,0.0465116279069767,0.27906976744186,0.131782945736434,0.131782945736434,0.0465116279069767
