"","$0-25","$100-150","$25-50","$50-75","$75-100","Greater than $150"
"Freq",419,90,237,179,149,77
"Prop",0.364031277150304,0.0781928757602085,0.205907906168549,0.155516941789748,0.129452649869679,0.0668983492615117
