"","10 to 20 minutes","20 to 30 minutes","5 to 10 minutes","Greater than 30 minutes","Less than 5 minutes"
"Freq",241,29,636,6,230
"Prop",0.211033274956217,0.0253940455341506,0.5569176882662,0.00525394045534151,0.201401050788091
