"","Employed full-time","Employed part-time","Homemaking (not paid)","Prefer not to say","Retired","Seeking job opportunities"
"Freq",538,155,220,61,8,121
"Prop",0.487760652765186,0.14052583862194,0.199456029011786,0.0553037171350861,0.00725294650951949,0.109700815956482
