"","$15,000 to 19,000","$20,000 to 29,000","$30,000 to $39,000","$40,000 to $49,000","$50,000 to $74,000","$75,000 to $100,000","Less than $14,000","Prefer not to answer"
"Freq",21,18,33,10,1,2,33,11
"Prop",0.162790697674419,0.13953488372093,0.255813953488372,0.0775193798449612,0.00775193798449612,0.0155038759689922,0.255813953488372,0.0852713178294574
