"","Chinese (incl. Mandarin, Cantonese)","English","Haitian Creole","Russian","Spanish"
"Freq",1,114,2,1,8
"Prop",0.00793650793650794,0.904761904761905,0.0158730158730159,0.00793650793650794,0.0634920634920635
