"","$100,000 or more","$15,000 to 19,000","$20,000 to 29,000","$30,000 to $39,000","$40,000 to $49,000","$50,000 to $74,000","$75,000 to $100,000","Prefer not to answer","NA"
"Freq",4,1,2,2,2,5,6,3,5
"Prop",0.133333333333333,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.166666666666667,0.2,0.1,0.166666666666667
