"","FALSE","TRUE"
"8th grade or less",3,0
"9th-12th grade (no high school diploma)",10,1
"Associate degree (AA, AS)",15,1
"Bachelor’s degree (BA, BS, AB)",6,2
"Graduate or professional degree",5,0
"High school graduate or GED completed",42,3
"Some college credit but no degree",39,2
