"","Divorced/Separated","Living with partner in same household","Married","Single","Widowed","NA"
"Freq",16,9,158,36,1,24
"Prop",0.0655737704918033,0.0368852459016393,0.647540983606557,0.147540983606557,0.00409836065573771,0.0983606557377049
