"","$100,000 or more","$15,000 to 19,000","$20,000 to 29,000","$30,000 to $39,000","$40,000 to $49,000","$50,000 to $74,000","$75,000 to $100,000","Less than $14,000","Prefer not to answer"
"Freq",79,12,12,19,14,30,21,6,26
"Prop",0.360730593607306,0.0547945205479452,0.0547945205479452,0.0867579908675799,0.0639269406392694,0.136986301369863,0.0958904109589041,0.0273972602739726,0.118721461187215
