"","$100,000 or more","$15,000 to 19,000","$20,000 to 29,000","$30,000 to $39,000","$40,000 to $49,000","$50,000 to $74,000","$75,000 to $100,000","Less than $14,000","Prefer not to answer","NA"
"Freq",79,12,12,19,14,30,21,6,26,25
"Prop",0.323770491803279,0.0491803278688525,0.0491803278688525,0.0778688524590164,0.0573770491803279,0.122950819672131,0.0860655737704918,0.0245901639344262,0.10655737704918,0.102459016393443
