"","1","2","3","4","5","6+","NA"
"Freq",2,11,46,99,36,28,22
"Prop",0.00819672131147541,0.0450819672131148,0.188524590163934,0.405737704918033,0.147540983606557,0.114754098360656,0.0901639344262295
