"","$100,000 or more","$15,000 to 19,000","$20,000 to 29,000","$30,000 to $39,000","$40,000 to $49,000","$50,000 to $74,000","$75,000 to $100,000","Less than $14,000","Prefer not to answer","NA"
"Freq",18,1,11,4,16,26,11,11,13,9
"Prop",0.15,0.00833333333333333,0.0916666666666667,0.0333333333333333,0.133333333333333,0.216666666666667,0.0916666666666667,0.0916666666666667,0.108333333333333,0.075
